id,Lisboa,Result,Log,Order,comissao_coordenadora,grupo_contacto,Apoio_Contacto,Apoio_Coordenadora,Age,Internet,Previous.party,Female
1,NA,NA,NA,NA,1,0,1,5,NA,NA,NA,NA
2,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
3,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
4,NA,NA,NA,NA,0,0,4,2,NA,NA,NA,NA
5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
6,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
7,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
8,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
9,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
10,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
11,1,10.53,2.3542283261,3,0,0,1,2,40,1,0,1
12,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA
13,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
14,1,0.17,-1.7719568419,3,0,0,2,1,34,1,0,0
15,1,1.8,0.5877866649,2,0,0,0,0,57,1,0,0
16,1,2.14,0.760805829,2,0,0,0,0,67,1,0,0
17,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
18,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
19,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
20,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
21,1,15.37,2.7324175576,2,0,0,3,2,29,1,1,1
22,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
23,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
24,1,2.56,0.9400072585,2,0,0,2,3,42,0,1,1
25,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
26,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
27,1,464.24,6.1404016599,1,1,0,1,3,40,1,1,1
28,NA,NA,NA,NA,0,0,4,2,NA,NA,NA,NA
29,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
30,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA
31,1,14.83,2.6966521561,1,0,0,0,2,53,0,0,1
32,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
33,NA,NA,NA,NA,0,0,4,3,NA,NA,NA,NA
34,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
35,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
36,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
37,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
38,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
39,NA,NA,NA,NA,0,0,2,0,NA,NA,NA,NA
40,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
41,1,5.22,1.6524974019,1,0,0,3,0,57,0,1,1
42,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
43,1,8.18,2.1016921506,2,0,0,2,7,66,1,0,1
44,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
45,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
46,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
47,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
48,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
49,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
50,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
51,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
52,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
53,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
54,NA,NA,NA,NA,0,0,4,1,NA,NA,NA,NA
55,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
56,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
57,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
58,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
59,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
60,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
61,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
62,NA,NA,NA,NA,0,0,1,3,NA,NA,NA,NA
63,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
64,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
65,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
66,1,56.13,4.027670429,1,1,1,3,2,43,1,1,0
67,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
68,NA,NA,NA,NA,0,0,1,2,NA,NA,NA,NA
69,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
70,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
71,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
72,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
73,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
