"Source","Target","Tie"
66,1,1
185,1,1
197,1,1
265,1,1
357,1,1
359,1,1
404,1,1
407,1,1
470,1,1
501,1,1
669,1,1
808,1,1
853,1,1
855,1,1
874,1,1
910,1,1
946,1,1
84,2,1
94,2,1
109,2,1
146,2,1
179,2,1
251,2,1
271,2,1
273,2,1
278,2,1
401,2,1
412,2,1
472,2,1
523,2,1
663,2,1
667,2,1
685,2,1
1,4,1
21,4,1
92,4,1
100,4,1
128,4,1
174,4,1
178,4,1
196,4,1
277,4,1
279,4,1
290,4,1
329,4,1
356,4,1
416,4,1
431,4,1
446,4,1
452,4,1
475,4,1
488,4,1
586,4,1
598,4,1
599,4,1
611,4,1
617,4,1
658,4,1
659,4,1
678,4,1
682,4,1
669,4,1
710,4,1
730,4,1
783,4,1
805,4,1
811,4,1
842,4,1
889,4,1
896,4,1
932,4,1
938,4,1
1,140,1
33,140,1
67,140,1
93,140,1
185,140,1
359,140,1
389,140,1
404,140,1
446,140,1
478,140,1
483,140,1
501,140,1
637,140,1
701,140,1
853,140,1
889,140,1
946,140,1
15,11,1
61,11,1
32,11,1
67,11,1
139,11,1
142,11,1
183,11,1
230,11,1
233,11,1
249,11,1
251,11,1
271,11,1
284,11,1
310,11,1
311,11,1
320,11,1
392,11,1
412,11,1
425,11,1
431,11,1
433,11,1
464,11,1
532,11,1
604,11,1
632,11,1
645,11,1
650,11,1
748,11,1
791,11,1
809,11,1
814,11,1
835,11,1
855,11,1
904,11,1
938,11,1
1,13,1
3,13,1
48,13,1
93,13,1
140,13,1
185,13,1
357,13,1
359,13,1
389,13,1
404,13,1
478,13,1
501,13,1
699,13,1
853,13,1
874,13,1
910,13,1
32,14,1
33,14,1
29,14,1
48,14,1
85,14,1
224,14,1
320,14,1
343,14,1
475,14,1
536,14,1
544,14,1
632,14,1
637,14,1
686,14,1
742,14,1
805,14,1
809,14,1
882,14,1
929,14,1
48,573,1
67,573,1
197,573,1
393,573,1
401,573,1
433,573,1
443,573,1
503,573,1
590,573,1
715,573,1
800,573,1
807,573,1
821,573,1
828,573,1
847,573,1
855,573,1
940,573,1
84,15,1
85,15,1
176,15,1
271,15,1
273,15,1
320,15,1
327,15,1
392,15,1
431,15,1
443,15,1
475,15,1
523,15,1
543,15,1
561,15,1
573,15,1
766,15,1
781,15,1
817,15,1
867,15,1
908,15,1
919,15,1
929,15,1
84,16,1
185,16,1
271,16,1
273,16,1
370,16,1
478,16,1
501,16,1
555,16,1
658,16,1
688,16,1
817,16,1
853,16,1
4,21,1
40,21,1
65,21,1
79,21,1
103,21,1
113,21,1
115,21,1
137,21,1
162,21,1
174,21,1
196,21,1
213,21,1
222,21,1
225,21,1
265,21,1
271,21,1
284,21,1
310,21,1
331,21,1
356,21,1
357,21,1
399,21,1
402,21,1
411,21,1
414,21,1
423,21,1
428,21,1
434,21,1
442,21,1
479,21,1
488,21,1
498,21,1
519,21,1
522,21,1
532,21,1
554,21,1
611,21,1
625,21,1
655,21,1
656,21,1
663,21,1
667,21,1
701,21,1
728,21,1
735,21,1
749,21,1
768,21,1
769,21,1
775,21,1
781,21,1
810,21,1
883,21,1
903,21,1
930,21,1
932,21,1
934,21,1
948,21,1
29,61,1
129,61,1
256,61,1
262,61,1
317,61,1
410,61,1
424,61,1
580,61,1
631,61,1
635,61,1
646,61,1
767,61,1
805,61,1
842,61,1
1,62,1
27,62,1
68,62,1
93,62,1
139,62,1
172,62,1
211,62,1
268,62,1
304,62,1
320,62,1
345,62,1
371,62,1
389,62,1
392,62,1
483,62,1
563,62,1
532,62,1
598,62,1
617,62,1
663,62,1
671,62,1
814,62,1
853,62,1
867,62,1
1,40,1
33,40,1
67,40,1
84,40,1
103,40,1
140,40,1
153,40,1
154,40,1
185,40,1
189,40,1
343,40,1
344,40,1
359,40,1
389,40,1
402,40,1
446,40,1
478,40,1
491,40,1
494,40,1
519,40,1
522,40,1
532,40,1
701,40,1
735,40,1
32,27,1
52,27,1
78,27,1
98,27,1
113,27,1
179,27,1
193,27,1
196,27,1
206,27,1
226,27,1
235,27,1
240,27,1
252,27,1
254,27,1
265,27,1
307,27,1
321,27,1
354,27,1
357,27,1
375,27,1
402,27,1
407,27,1
410,27,1
423,27,1
439,27,1
443,27,1
461,27,1
470,27,1
501,27,1
509,27,1
532,27,1
537,27,1
544,27,1
548,27,1
558,27,1
607,27,1
608,27,1
611,27,1
615,27,1
645,27,1
700,27,1
705,27,1
707,27,1
717,27,1
728,27,1
751,27,1
778,27,1
790,27,1
804,27,1
805,27,1
808,27,1
816,27,1
823,27,1
827,27,1
853,27,1
942,27,1
952,27,1
4,39,1
78,39,1
111,39,1
139,39,1
140,39,1
172,39,1
185,39,1
200,39,1
215,39,1
254,39,1
331,39,1
389,39,1
402,39,1
414,39,1
428,39,1
446,39,1
488,39,1
567,39,1
628,39,1
637,39,1
650,39,1
651,39,1
667,39,1
670,39,1
671,39,1
734,39,1
796,39,1
811,39,1
860,39,1
862,39,1
924,39,1
938,39,1
63,30,1
22,30,1
23,30,1
36,30,1
58,30,1
66,30,1
68,30,1
71,30,1
94,30,1
109,30,1
123,30,1
183,30,1
222,30,1
224,30,1
230,30,1
271,30,1
272,30,1
303,30,1
315,30,1
320,30,1
345,30,1
389,30,1
405,30,1
417,30,1
433,30,1
471,30,1
475,30,1
476,30,1
538,30,1
555,30,1
594,30,1
598,30,1
599,30,1
605,30,1
622,30,1
645,30,1
763,30,1
764,30,1
808,30,1
815,30,1
855,30,1
867,30,1
881,30,1
904,30,1
925,30,1
934,30,1
940,30,1
68,38,1
69,38,1
84,38,1
109,38,1
170,38,1
200,38,1
277,38,1
345,38,1
371,38,1
389,38,1
422,38,1
532,38,1
598,38,1
663,38,1
815,38,1
867,38,1
9,31,1
61,31,1
27,31,1
165,31,1
233,31,1
265,31,1
283,31,1
420,31,1
451,31,1
679,31,1
694,31,1
730,31,1
740,31,1
776,31,1
919,31,1
931,31,1
71,41,1
78,41,1
139,41,1
136,41,1
209,41,1
222,41,1
284,41,1
343,41,1
428,41,1
446,41,1
532,41,1
544,41,1
598,41,1
637,41,1
700,41,1
710,41,1
730,41,1
734,41,1
735,41,1
786,41,1
810,41,1
842,41,1
34,28,1
71,28,1
100,28,1
152,28,1
197,28,1
209,28,1
279,28,1
354,28,1
358,28,1
407,28,1
410,28,1
417,28,1
555,28,1
557,28,1
650,28,1
663,28,1
669,28,1
705,28,1
730,28,1
740,28,1
763,28,1
793,28,1
807,28,1
827,28,1
837,28,1
888,28,1
890,28,1
903,28,1
931,28,1
9,24,1
21,24,1
33,24,1
48,24,1
79,24,1
85,24,1
116,24,1
127,24,1
149,24,1
172,24,1
224,24,1
265,24,1
320,24,1
331,24,1
343,24,1
362,24,1
406,24,1
414,24,1
427,24,1
470,24,1
480,24,1
514,24,1
522,24,1
533,24,1
544,24,1
598,24,1
611,24,1
625,24,1
628,24,1
656,24,1
667,24,1
701,24,1
742,24,1
734,24,1
735,24,1
796,24,1
835,24,1
855,24,1
929,24,1
1,43,1
32,43,1
48,43,1
66,43,1
68,43,1
79,43,1
98,43,1
111,43,1
139,43,1
172,43,1
176,43,1
197,43,1
211,43,1
213,43,1
222,43,1
272,43,1
296,43,1
316,43,1
331,43,1
362,43,1
442,43,1
469,43,1
470,43,1
514,43,1
599,43,1
640,43,1
663,43,1
686,43,1
734,43,1
740,43,1
839,43,1
855,43,1
862,43,1
873,43,1
948,43,1
171,33,1
265,33,1
329,33,1
343,33,1
475,33,1
519,33,1
522,33,1
532,33,1
544,33,1
650,33,1
651,33,1
682,33,1
710,33,1
701,33,1
734,33,1
735,33,1
748,33,1
753,33,1
766,33,1
805,33,1
810,33,1
842,33,1
937,33,1
4,54,1
41,54,1
28,54,1
88,54,1
92,54,1
179,54,1
185,54,1
209,54,1
227,54,1
241,54,1
279,54,1
299,54,1
360,54,1
399,54,1
407,54,1
410,54,1
426,54,1
472,54,1
506,54,1
521,54,1
523,54,1
555,54,1
587,54,1
573,54,1
593,54,1
651,54,1
658,54,1
667,54,1
685,54,1
688,54,1
704,54,1
710,54,1
715,54,1
730,54,1
739,54,1
748,54,1
800,54,1
810,54,1
821,54,1
859,54,1
899,54,1
903,54,1
940,54,1
22,44,1
33,44,1
48,44,1
109,44,1
116,44,1
123,44,1
139,44,1
172,44,1
183,44,1
202,44,1
331,44,1
401,44,1
414,44,1
475,44,1
480,44,1
489,44,1
514,44,1
574,44,1
582,44,1
622,44,1
625,44,1
656,44,1
742,44,1
734,44,1
739,44,1
753,44,1
828,44,1
889,44,1
904,44,1
951,44,1
6,29,1
61,29,1
129,29,1
143,29,1
256,29,1
262,29,1
317,29,1
435,29,1
564,29,1
580,29,1
635,29,1
646,29,1
767,29,1
4,66,1
41,66,1
98,66,1
179,66,1
197,66,1
206,66,1
215,66,1
235,66,1
240,66,1
313,66,1
358,66,1
383,66,1
407,66,1
410,66,1
504,66,1
505,66,1
555,66,1
617,66,1
649,66,1
667,66,1
692,66,1
704,66,1
715,66,1
805,66,1
810,66,1
827,66,1
862,66,1
903,66,1
934,66,1
65,68,1
78,68,1
103,68,1
162,68,1
197,68,1
213,68,1
265,68,1
364,68,1
414,68,1
446,68,1
452,68,1
488,68,1
519,68,1
650,68,1
656,68,1
670,68,1
700,68,1
769,68,1
831,68,1
842,68,1
934,68,1
48,72,1
67,72,1
357,72,1
393,72,1
401,72,1
489,72,1
574,72,1
